"Sector Wise Projects"

"Sr.No.","Sector","Line Ministry","ProjectID","Project Name","Original Cost
(in Cr)","Latest Revised Cost
(in Cr)","Expenditure (Cumm.)
(in Cr)"
"681","Roads & Highways","Ministry of Road Transport & Highways","618025","Rehabiitation and upgradation from km 121/000 to 154/000 Nakrekal to Mallampally section of NH-365 to 2 lane with paved shoulders in the state of Telangana in the EPC mode","192.67","192.67","141.82"
"682","Roads & Highways","Ministry of Road Transport & Highways","618027","Widening to 2LPS from Km 71.00 to 104.00 Existing chainages Sarjapur to Pattadkallu on Bhanapur to Gaddanakeri section NH-367 in the State of Karnataka under NHO on EPC mode under Annual Plan 2022-23 NH-367-KNT-2022-23-972 dated 08.02.2023","445.62","445.62","198.15"
"683","Roads & Highways","Ministry of Road Transport & Highways","618028","Construction of Bypass at Kuknoor, Yelburga, Gajendragada of Bhanapur Gaddanakeri section of NH-367 in the State of Karnataka under NHO on EPC mode under Annual Plan 2022-23. NH-367-KNT-2022-23-973 dated 08.02.2023","333.96","333.96","63.62"
"684","Roads & Highways","Ministry of Road Transport & Highways","618029","Widening to 4 lane from Km. 133.00 to 158.04 design Chainage Km. 130.88 to 155.145 Shirur Cross to Gaddankeri of NH-367 in the State of Karnataka on EPC mode. Job No. NH-367-KNT-2021-22-930","350.69","312.06","203.12"
"685","Roads & Highways","Ministry of Road Transport & Highways","618031","Balance work of Construction of Two/Four lane with paved shoulder from Km 422.000 to 523.600 Chitradurga to Shivamogga of NH-13 in the state of Kanataka on EPC mode.","516.96","516.96","121.75"
"686","Roads & Highways","Ministry of Road Transport & Highways","618034","Construction of 2 lane Barpeta Bypass from Km 77900Baradi to Km 86150 Deurikuchi Length8.25Km on NH-427 in the state of Assam under EPC ModeJob No.427/AS/2022-23/245","173.65","173.65","11.38"
"687","Roads & Highways","Ministry of Road Transport & Highways","618035","Rehabilitation & Upgradation of existing intermediate lane to two Lane with paved shoulder from km. 0.600 Gulganj bypass on NH-34 to km. 43.00 Barna River length 42.400 km. on Gulganj-Amanganj-Pawai-Katni NH43 Extn. in the state of Madhya Pradesh on EPCmode.","275.4","275.4","0"
"688","Roads & Highways","Ministry of Road Transport & Highways","618036","Upgradation and reconstruction of existing intermediate lane to two Lane with paved shoulder configuration from km. 43.00 Barna River to km. 77.00 ken river length 34.00 km. on Gulganj-Amanganj-Pawai-Katni NH43 Extn. along with One time improvement in 01 no. of bypassed built-up area in a total length of 1.585 km in the state of Madhya Pradesh on EPCmode.","315.55","315.55","0"
"689","Roads & Highways","Ministry of Road Transport & Highways","618037","Rehabilitation and Up-gradation of existin of road from 2-lane to 2-lane with paved shoulders from km. 0.00 to km 53.590 total length-53.590 km of Raychoti to Vempalli section of NH-440 in the State of Andhra Pradesh on EPC mode.","439.82","359.52","213.12"
"690","Roads & Highways","Ministry of Road Transport & Highways","618038","Construction of Shopian Bypass on NH-444 taking off from existing chainage Km 36500 and re-joining at km 47588 of existing Chainage New Design Ch. From km 28000 to km 36925 as 2- lane with paved shoulder in the UT of Jammu & Kashmir on EPC mode.","224.44","224.44","0"
"691","Roads & Highways","Ministry of Road Transport & Highways","618039","Widening to 2 Lane from Existing Chainage Km 74.700 Km 100.660 Design Chainage Km 53.365 to Km 78.785 on NH- 507 in the State of Uttarakhand.","346.82","346.82","0"
"692","Roads & Highways","Ministry of Road Transport & Highways","618040","Rehabilitation and Upgradation to Two lanes with Paved Shoulders configuration and Strengthening from Km 175.00 to Km 196.00 Gumkhal to Satpuli of NH-119 New NH-534 in the State of Uttarakhand under NHO Annual Plan 2021-22 under EPC mode","452.81","452.81","0"
"693","Roads & Highways","Ministry of Road Transport & Highways","618041","Rehabilitation and upgrading to two lanes with paved shoulders and Strengthening of Kotdwar-Pauri-Srinagar road section from Km 232.00 to 274.470 on NH-119 New 534 Paidul to Srinagar in the State of Uttarakhand on EPC Mode under NHO Annual Plan 2021-22.","299.31","299.31","0"
"694","Roads & Highways","Ministry of Road Transport & Highways","618042","Rehabilitation/ Upgradation of existing Highway to four lane standards in Kurkheda town from km.413257 to km 410775, Two lane in Shankarpur Gurnuli km 42400 to km 43100 section and Reconstruction of Major Bridge at Ch. 448558 Bhuti Nallah and Ch. 411695 Sati River bridge, Minor Bridge at Ch. 411477 and Ch. 405800 Lendhari Bridge of NH 543 Bhamhapuri-wadsa-kurkheda-korchi-Deori-Amgaon road on EPC mode in the State of Maharashtra","163.86","163.86","49.03"
"695","Roads & Highways","Ministry of Road Transport & Highways","618043","Upgradation and reconstruction of Dindori - Mandla Section of NH 543 from Km 77100 Design to Km 170580 Design Total length 93.48km to Two lane with paved shoulder configuration along with One time improvement in 04 nos of bypassed built-up areas in a total length of 7.23 km in the state of Madhya Pradesh on EPC mode","492.12","523.71","0"
"696","Roads & Highways","Ministry of Road Transport & Highways","618044","Upgradation of Shahdol- Sagartola Section of NH 543 from km 0000 to km 69400 to 2 lane with paved shoulders under Hybrid Annuity Mode HAM in the State of Madhya Pradesh","851.4","851.4","0"
"697","Roads & Highways","Ministry of Road Transport & Highways","618047","Widening, Reconstruction & Up-gradation to 2 lane with Paved Shoulder/Four Lane configuration for the work of Ahmednagar to Sabalkhed & Ashti to Chinchpur Section of NH-561 from Design km 2915 to km 37728 & Design km 55100 to km 70000 in the State of Maharashtra on EPC mode. Length 49.713 km","657.16","657.16","0"
"698","Roads & Highways","Ministry of Road Transport & Highways","618049","Up-gradation to 2/4 lane with paved shoulder configuration of NH-652 from Tuljapur Naldurg-Akkalkot road Chainage from Km. 00.000 to km 30.982 in the State of Maharashtra on EPC mode.","183.41","183.41","64.95"
"699","Roads & Highways","Ministry of Road Transport & Highways","618052","Gorantla - Hindupur section from Km 120/300 to 165/000 of NH716G in the State of Andhra Pradesh","808.7","808.7","0"
"700","Roads & Highways","Ministry of Road Transport & Highways","618053","Muddanur to B. Kothapalli section of NH-716G from Km. 0/000 to Km. 56/500 56.500 Km in the State of Andhra Pradesh on EPC mode Job no. 741","1019.97","1019.97","0"
"701","Roads & Highways","Ministry of Road Transport & Highways","618054","Construction of Balrampur bypass with 2L flexible pavement configuration from km.223.000 of NH-330 to km.328.300 of NH-730 under EPC mode","515.69","515.69","128.55"
"702","Roads & Highways","Ministry of Road Transport & Highways","618055","Construction of Pratapgarh Bypass Extension connecting NH-31 to NH-330 on EPC mode in the State of Uttar Pradesh.","225.17","225.17","66.96"
"703","Roads & Highways","Ministry of Road Transport & Highways","618056","Improvement and Up-gradation to two Lane with Paved Shoulder Configuration from existing km. 420.00 Shohrathgarh to km. 454.00 Uska Bazar of NH-730 in the state of Uttar Pradesh EPC basis","509.65","484.42","120.57"
"704","Roads & Highways","Ministry of Road Transport & Highways","618057","Construction of Shohratgarh Bypass on NH-730 under EPC mode in the State of Uttar Pradesh","189.31","189.31","31.42"
"705","Roads & Highways","Ministry of Road Transport & Highways","618059","Construction of four-lane Concrete Road from Police Headquarter Gondia City to Rawanwadi Village Birsi Airport Junction from design km 0.000 to km 15.781 existing km 39/720 of NH-753 to existing Km 8/400 of NH 543 on sections from Kohmara- Goregaon- Police HeadquarterKaranja - Collector Office Square - Balaghat T Point- Rawanwadi- Rajegaon of NH-753 and NH-543 in Gondia District in the state of Maharashtra. Total Length of the project 15.781 Km.","328.11","328.11","111.48"
"706","Roads & Highways","Ministry of Road Transport & Highways","618060","Widening and Strengthening of existing paveemnt to two lane with paved shoulders from km 116.00 to km 176.355 of NH-75E in the State of Jharkhand on EPC mode.","315.21","315.21","162.16"
"707","Roads & Highways","Ministry of Road Transport & Highways","618061","Strengthening, Widening & Up-gradation of newly declared NH-761 from NH-61Junction-BelheAlkutiDevibhoyareNighojShirur, from Design chainage Km 0.000 to Km 37.970 from Single/Intermediate/2L to 2LPS in the State of Maharashtra on EPC Mode Length 37.970 Km","386.16","386.16","57.23"
"708","Roads & Highways","Ministry of Road Transport & Highways","618063","Widening & Strenghteningof section from Bharthana chowk to Kodarkoot km.0.00 to km.40.00 of NH-91-A on EPC mode","262.37","343.77","115.38"
"709","Roads & Highways","Ministry of Road Transport & Highways","618065","Rehabilitation/Upgradation of existing Highway to 2LPS/4 lane of Dhawali to Rajoli from Design Km.149476 to 163476 existing Km.150000 to 164000, Pandhasala to Mohadongri from design Km.170476 to 181476 existing Km.171000 to 182000, Ambeshivni Fata to Bodli from design Km.183476 to 185476 existing Km.184000 to 186000 and Made Tukum to Gadchiroli from design Km.188476 to 189476 existing Km.188000 to 18900 having length 28 km of NH-930 of Dhawali to Gadchroli road in the","316.44","316.44","49.78"
"710","Roads & Highways","Ministry of Road Transport & Highways","618066","Construction of Amethi bypass Part-II at km.30.050 of NH-931 under EPC mode in the state of Uttar Pradesh","283.86","283.86","38.69"
"711","Roads & Highways","Ministry of Road Transport & Highways","618067","Rehabilitation & Up-gradation from design Km. 0.000 to Km. 69.280 of NH-931 Pratapgarh - Amethi - Gauriganj -Musafirkhana to two lane with paved shoulder on Engineering, Procurement & Construction EpC mode in the State of Uttar Pradesh","1086.3","1086.3","24.29"
"712","Roads & Highways","Ministry of Road Transport & Highways","618068","Construction of Kaithi-Padaria Kala bypass, Patna-Tamoli bypass, Jaso bypass and Nagod bypass total length 15.44 Km to 2-lane with paved shoulders flexible pavement on NH-943 in the State of Madhya Pradesh on EPC Mode.","158.36","158.36","36.36"
"713","Roads & Highways","Ministry of Road Transport & Highways","618069","Upgradation to Two-lane with paved shoulder of Hanumangarh to Kenchiyan section from Km 0.000existing chainage-Km 23.200 to Km 49.605existing chainage-Km 74.645 of NH-54 in the State of Rajasthan on EPC mode.","334.64","334.64","0"
"714","Roads & Highways","Ministry of Road Transport & Highways","618070","Widening to 2 Lanes with paved shoulders from Km.87/000 to 133/720 Nattukal to Thanau Jn. in Palakkad of NH-966 Old NH-213 on EPC mode Basis under NHO Annual Plan 2016-17 in the state of Kerala","294.28","315.63","0"
"715","Roads & Highways","Ministry of Road Transport & Highways","618071","Construction of two lane with paved shoulder Gangtok Bypass Road from Ranipool to Burtuk Ch 0.00 Km to 23.316 L23.316 Km in the State of Sikkim","385.15","342.89","203.36"
"716","Roads & Highways","Ministry of Road Transport & Highways","618072","Widening to Existing single lane /intermediate lane to 2 lane from Km185.00 to Km 220.00 of NH-61 New NH-02 in the state of Nagaland.","297.25","297.25","155.15"
"717","Roads & Highways","Ministry of Road Transport & Highways","618073","Improvement to Two lane with Paved Shoulder from Junction of NH22 near Hajipur to Junction of NH -122 at Bachhwara via Mahnar and Mohiuddin Nagar from Km 0.00 to Km 29.730 of NH 122 B in the State of Bihar.","226.16","226.16","0"
"718","Roads & Highways","Ministry of Road Transport & Highways","618074","Pre construction activity of NH 122B from km 0 to 72.348 and Improvement to two lane with paved shoulders of NH 122B from km 29.730 to km 72.348 in state of Bihar under EPC mode","624.43","624.43","154.25"
"719","Roads & Highways","Ministry of Road Transport & Highways","618075","Construction of two lane with paved shoulder from existing Km.0.000 to Km.55.610 design km. 0.000 to km. 54.048 of NH-124D","840.93","773.58","210.11"
"720","Roads & Highways","Ministry of Road Transport & Highways","618076","Improvement and Widening two lannig with paved Shoulder of NH 127B from km 31.500 Goeragre to km 63.224 Package-II in state of Meghalaya","504","350.67","0"
"721","Roads & Highways","Ministry of Road Transport & Highways","618079","Construction of Dharmagarh Bypass on NH-130C including land acquisition in the state of Odisha on EPC Mode under Annual plan 2022-23.","172.66","172.66","0"
"722","Roads & Highways","Ministry of Road Transport & Highways","618080","Improvement to two lane with paved shoulders of BH WB Border Amdabad Manihari section from design Km 0.000 to Km 23.945 of NH 131 A Total length 23.945 Km under EPC mode in the state of Bihar","353.27","353.27","0"
"723","Roads & Highways","Ministry of Road Transport & Highways","618081","Construction of Mariahu Bypass with four lane paved shoulder configuration Km. 53.540 to Km.59.200 of NH-135A on EPC mode in the state of Uttar Pradesh","438.24","362.39","81.45"
"724","Roads & Highways","Ministry of Road Transport & Highways","618082","Widening & Upgradation to four lane configuration from Km.34.900 Bhadohi to km.73.134 Jaunpur of NH-135A on EPC mode","395.62","392.03","0"
"725","Roads & Highways","Ministry of Road Transport & Highways","618083","Construction of byepass around Lohardaga town of NH-143A in the Sate of Jharkhand under EPC mode.","458.78","458.78","2.32"
"726","Roads & Highways","Ministry of Road Transport & Highways","618084","Widening to 2-lane with paved shoulder from km 0.00 to 44.00 Kuru-Ghaghra section of NH-143A including re-construction of culverts and bridges.","153.01","133.67","100.77"
"727","Roads & Highways","Ministry of Road Transport & Highways","618085","Upgradation of Nasrullagani-Rehti-Budhni Scction to 2-lane with paved shoulder from Km 0150 to Km 50500 of NH-146B in the state of Madhya Pradesh on EPC mode.","305.12","293.74","0"
"728","Roads & Highways","Ministry of Road Transport & Highways","618086","Widening to Two Lane with Paved Shoulders from KB Cross to Chunchanahalli ie., Design Ch. 485240 Km Existing Km 494.000 to Design Ch. 523393 Km Existing km 533.152 & From Design Ch. 530393 Existing Km 540.175 to Design Ch. 534476 Existing Km 544.200 at Nelligere of NH-150A on EPC mode under Annual Plan 2022-23 NH-150A-KNT-2022-23-977 dated 08.03.2023","617.28","617.28","8.03"
"729","Roads & Highways","Ministry of Road Transport & Highways","618087","Widening to intermediate/two lane to 2 lane with paved shoulder from Existing chanages Km 112.750 to 142.00 Liingasur to Mudabal cross & from Km. 147.070 to Km. 149.070 Maski city limit of Jewargi Chamrajnagar setion of NH-150A in the state of Karnataka on EPC mode. Job No. NH-150A-KNT-2021-22-951","255.88","255.88","185.27"
"730","Roads & Highways","Ministry of Road Transport & Highways","618088","Nandurshingote to Kolhar","325.79","325.79","32.41"
"731","Roads & Highways","Ministry of Road Transport & Highways","618089","Rehabilitation & Up-gradation of Mudkhed to Nanded section from Km. 372000 to Km 388400 of NH 161A i.e. Nanded-Bhokar-Himayatnagar-Kinwat-Mahur-Arani Road Design chainage from Km 372000 Mudkhed to Km 387650 Nanded of NH 161A Length 15.65 Km to 2/4Lane with paved shoulders configuration in the State of Maharashtra on EPC mode.","206.54","206.54","74.51"
"732","Roads & Highways","Ministry of Road Transport & Highways","618091","Widening to two lane with paved shoulders from Km 0/000 to Km 45/946 of Nizampet-Narayankhed-bidar section of NH-161B in the state of Telangana under Annual Plan 2021-22 on EPC mode under NHO","512.98","512.98","152.49"
"733","Roads & Highways","Ministry of Road Transport & Highways","618092","Up-gradation to 2 lane with paved shoulder from Neechli Oden Nathdwara at Design Km 88.800 existing km 55.95 to Bhatewar at Design Km 142.028 existing km 0.00 of NH-162E in the State of Rajasthan on EPC mode.","606.61","606.61","304.62"
"734","Roads & Highways","Ministry of Road Transport & Highways","618094","Pen to Khopoli 2LPS","369.39","369.39","333.1"
"735","Roads & Highways","Ministry of Road Transport & Highways","618095","Widening to Two Lane with Paved Shoulders from Km 0.00 Design Chainage 0.00 to Km 23.338 Design Chainage 23310 of NH-166E MH/KNT Border- Kanamadi- Bijjargi- Tikota section in the state of Karnataka in EPC Mode under Annual plan 2022-23 NH-166E-KNT-2022-23-974","196.05","196.05","72.94"
"736","Roads & Highways","Ministry of Road Transport & Highways","618096","Rehabilitation and Up-gradation to 2 lane road with paved shoulders configuration for the balance work of 13 km length on Helwak-Patan-Karad section Km. 85000 to 133 417 of NH-166E in the state of Maharashtra on EPC mode.","181.45","181.45","60.25"
"737","Roads & Highways","Ministry of Road Transport & Highways","618097","Guhagar - Rampur - 2L-PS - km 0/00 Guhagar to 26/230 Rampur and 40/00 Mirjoli to 53/600 Sati on NH-166E","407.2","407.2","0"
"738","Roads & Highways","Ministry of Road Transport & Highways","618098","Upgradation of exhisting 2 lane flexible pavement to 2 lane paved shoulders rigid pavement from design chainage Km 66.00 to Design Km 82.440 Start of Kolhapur Municipal corporation near Phulewadi to kale, design length 16.440 Km section on Talere Gaganbawada-Kolhapur road NH 166G in the state of Maharashtra on EPC mode","167.97","167.97","0"
"739","Roads & Highways","Ministry of Road Transport & Highways","618101","Kondamodu to Perecherla Section Design Ch. Km 000 to Km 49917 of NH-167AG to to 4LPS","881.61","881.61","0"
"740","Roads & Highways","Ministry of Road Transport & Highways","618103","Rehabilitation and upgradation from Km 22300 to 58635 of MudireddyPalle to Kadapa/Nellore Border via porumamilla Section of NH 167 Two Lane with paved Shoulder in","279.29","279.29","168.7"
"741","Roads & Highways","Ministry of Road Transport & Highways","618104","Widening to two lane with paved shoulders from Km 0/000 to Km 79/300 of Kalwakurthy - Kollapur section of NH-167K in the state of Telangana under annual plan 2021-22 on EPC mode under NHO.","886.69","886.69","620.25"
"742","Roads & Highways","Ministry of Road Transport & Highways","618105","Widening and strengthening to 4 lane / 2-lane with paved shoulders of Mahabubnagar - Chincholi section from km 60/255 to Km 102/834 of NH-167N in the State of Telangana on EPC mode.","631.49","631.49","125.34"
"743","Roads & Highways","Ministry of Road Transport & Highways","618106","Widening and Strengthening to 2/4 lane with paved shoulders of Mahabubnagar Chincholi section from Km 0/0 to Km 60/255 of NH-167N in the state of Telangana under Annual plan 2021-22 on EPC modepackage-I under NHO Job No.167N-TS-2021-22-75","703.68","703.68","304.65"
"744","Roads & Highways","Ministry of Road Transport & Highways","618107","Upgradation of Mehsana-Visnagar-vadnagar-Kheralu-Idar section from km 0/00 to 81/300 of NH 168G Mehsana to Idar in the State of GujaratTotal Length 81.300 Km on Hybrid Annuity Mode HAM","1155.21","1155.21","421.58"
"745","Roads & Highways","Ministry of Road Transport & Highways","618108","Up-gradation and strengthening to 2lanePS from Km 95/500 to km 129/775 of Nh 168G Idar-Bhiloda-Samlaji in the state of Gujarat Length 34.275 km","237.28","237.28","41.55"
"746","Roads & Highways","Ministry of Road Transport & Highways","618109","Widening to 4 lane from Km 51.60 to 76.20 Hebri to Parkala and from Km 85.20 to 88.90 Karavali junction to Malpe of Thirthahalli-Udupi-Malpe Section of NH-169A in the State of Karnataka on EPC Mode under Annual plan 2021-22 Job No. NH-169A-KNT-2021-22-927","355.72","355.72","217.46"
"747","Roads & Highways","Ministry of Road Transport & Highways","618111","Improvement and upgradation to two lane with paved shoulder configuration from existing km 90.00 to 130.00 Design length 39.15 of NH-227A near Sikriganj to Barhalganj in the State of UP on EPC Mode.","403.36","345.34","142.17"
"748","Roads & Highways","Ministry of Road Transport & Highways","618112","Improvement and up-gradation of NH-227B 84 Kosi Parikrama Marg Package I, from km 228.920 Jagarnathpur to Km 235.960/0.000 MakhaudaDham to Km 29.000 Sarpur in the State of Uttar Pradesh on EPC basis","912.5","912.5","8.72"
"749","Roads & Highways","Ministry of Road Transport & Highways","618113","Improvement and up-gradation of NH-227B 84 Kosi Parikrama Marg Package III, from Km.47.800 Gosaiganj to Km.73.300 Bikapur in the State of Uttar Pradesh on EPC basis.","587.97","587.97","80.16"
"750","Roads & Highways","Ministry of Road Transport & Highways","618114","Improvement and up-gradation of NH-227B 84 Kosi Parikrama Marg PackageV, from Design Km.140.960 Patranga to Km.160.200 Bahuvan Madar Majha on EPC mode in the State of Uttar Pradesh","1192.33","1192.33","0"
"751","Roads & Highways","Ministry of Road Transport & Highways","618116","lmprovement and Up-gradation from Km. 73.300 Bikapur to Km.140.960 Patranga of NH-227B 84 Kosi Parikrama Marg to 2LPS along with Parikrama Path","1679.75","1679.75","172.89"
"752","Roads & Highways","Ministry of Road Transport & Highways","618117","Upgradation to 2-Lane with Paved Shoulder from Design Km 36300 to Design Chainage 47918 and from Design Ch 69900 to Design Ch 83940 of NH-248A Natni Ka Bara in the State of Rajasthan on EPC Mode.","154.89","154.89","15.13"
"753","Roads & Highways","Ministry of Road Transport & Highways","618119","Rehabilitation and up-gradation to 2-lane configuration of Bageshwar to Kangarchina road from km 129.600 to Km 161.600 Existing Chainage 136.00 to Km 169.00 of NH-309Ain the State of Uttarakhand Package-IV under NHO Annual Plan 2021-22","472.23","472.23","0"
"754","Roads & Highways","Ministry of Road Transport & Highways","618120","construction of Four-Lane of chausa-Buxar Bypass from Km 45.000 to Km 65.915 Package - 2 in the State of Bihar on EPC Mode.","1060.16","1060.16","0.22"
"755","Roads & Highways","Ministry of Road Transport & Highways","618121","Improvement to two lane with paved shoulders of NH-319A from km 0 to km 45 in state of Bihar under EPC mode","427.29","427.29","198.23"
"756","Roads & Highways","Ministry of Road Transport & Highways","618122","Widening to 2 lane with paved shoulded of Jareikela Jharkhand/Odisha Border - Dhabaleswar section from 0/0 to 36/0 of NH-320D in the State of Odisha under Annual Plan 2021-22.","172.09","172.09","7.42"
"757","Roads & Highways","Ministry of Road Transport & Highways","618124","Rehabilitation and upgradation from km 51.600 to km 75.700 of NH-321G Nuhkhas to Etah section to two lane with paved shoulder configuration under EPC mode in the State of Uttar Pradesh","343.54","343.54","88.97"
"758","Roads & Highways","Ministry of Road Transport & Highways","618125","Rehabilitation and upgradation of NH 326A from km 0/0 to 41/979 excluding km 2/255 to 3/372 and km 36/820 to 38/275 Odisha border to Narasamapeta to two lane with paved Shoulders in the State of Andhra Pradesh under NHO on EPC Mode","228.32","228.32","44.94"
"759","Roads & Highways","Ministry of Road Transport & Highways","618126","Pre-Construction activities from Km 134.000 to Km 190.233 of NH-333A and Construction of 4 no. of Bypasses at Katoria, Lakhpura, Banka & Panjwara total length-14.359 Km to two lane with paved shoulders standard in State of Bihar.","479.37","479.37","67.37"
"760","Roads & Highways","Ministry of Road Transport & Highways","618127","Construction of 2- Lane with paved shoulder from km 56.45 Dharampur More to 93.050 Pakur of NH-333A in the State of Jharkhand on EPC mode","255.73","255.73","10.06"
"761","Roads & Highways","Ministry of Road Transport & Highways","618129","Construction of Kasrawad bypass, Selani bypass, Khargone bypass & Bistan bypass Total length. 31.950 km Section of NH-347 C to Two lane with paved shoulder configuration in the State of Madhya Pradesh on EPC mode.","467.93","467.93","167.65"
"762","Roads & Highways","Ministry of Road Transport & Highways","618130","Widening to 2 lane with paved shoulders from 0.00 to 32.970 ofAdilabadto Bela section of NH 353B in the State of Telangana","490.92","490.92","149.79"
"763","Roads & Highways","Ministry of Road Transport & Highways","618133","Strengthening and Widening of road Sakoli- Wadsa-Armori-Gadchiroli-Ashti- Allapalli -Sironcha National highway NH 353C in Km 262/00 to 321/00 including 16 minor Bridges and 2 Major Bridge Total length 59 Km section from repanpalli to sironcha in Gadchiroli Dist in the State of Maharashtra.","280.57","280.57","144.61"
"764","Roads & Highways","Ministry of Road Transport & Highways","618134","Rehabilitation /Upgradation from Lagam to Alapalli section Desing Km. 199/400 to km 227/400 Length 28.0 Km to 2 lane with Paved Shoulders/ 4 lane configuration section of NH-353 C Sakoli-Wadsa-Armori-Gadchiroli-Ashti-Alapalli Sironcha in Gadchiroli District on EPC mode in the state of Maharashtra.","459.39","459.39","132.28"
"765","Roads & Highways","Ministry of Road Transport & Highways","618137","Rehabilitation and Up-gradation of Jarud - Sirsala section of NH-361F km 59500 to km11500 to Two lane with paved shoulder/ Four Lane in the state of Maharashtra on EPC mode Length 55.5 Km.","540.35","540.35","158.38"
"766","Roads & Highways","Ministry of Road Transport & Highways","618138","Widening, Reconstruction & Up-gradation to 2 lane with Paved Shoulder/Four Lane configuration for the work of Sautada to Shirapur Section of NH-561 from Design km 86300 to km 125589 in the state of Maharashtra on EPC mode. Design length 39.289 km","349.57","349.57","0"
"767","Roads & Highways","Ministry of Road Transport & Highways","618139","Rehabilitation and Up-gradation of Gangakhed Loha section of NH-361F from Km 169/00 to 210/00 to two lane with paved shoulder/ four lane configuration in the state of Maharashtra on EPC mode Length - 41.00 Km.","355.12","355.12","0"
"768","Roads & Highways","Ministry of Road Transport & Highways","618140","Widening to two/four lane with paved shoulders from Km.34.250 to Km.71.830 of NH-365A on Kodad-Khammam-Kurvi road.","445.76","445.76","18.32"
"769","Roads & Highways","Ministry of Road Transport & Highways","618141","Widening and Improvement of existing carriage way to 2 lane with paved shoulders from Km. 86/160 to 131/730 of Jangaon-Duddeda section of NH-365B in the State of Telangana on EPC Mode","423.48","423.48","184.83"
"770","Roads & Highways","Ministry of Road Transport & Highways","618146","Estimate for Improvement to two lane with paved shoulder from Ramnagar to Roseda from km 3.500 to 43.000 of NH 527 E on EPC mode in State of Bihar","495.16","495.16","0.38"
"771","Roads & Highways","Ministry of Road Transport & Highways","618147","Widening to 2 Lane with Paved Shoulders from design Km 103.200 Existing Km 103.200 to design Km 116.700 Existing Km 118.470 on AP/KNT Border to Sira Section of NH-544E in the State of Karnatakaon EPC mode under Annual plan 2022-23","166.58","166.58","46.69"
"772","Roads & Highways","Ministry of Road Transport & Highways","618148","Widening to 4LPS of NH-548B from Km 80.000 Near Murgundi to Km 140.200 Near Chikkodi excluding length from Km 118.450 to Km 128.450 in the State of Karnataka under NH O on EPC Mode under Annual Plan 2022-23 - Package 1 NH-548B-KNT-2022-23-979 dated 09.03.2023","785.79","785.79","6.15"
"773","Roads & Highways","Ministry of Road Transport & Highways","618149","Widening to two lane with paved shoulders from Km 0.00 to 102.310 Design Chainage of NH-548B Murrum-Maharashtra Border in the State of Karnataka","957.09","957.09","288.23"
"774","Roads & Highways","Ministry of Road Transport & Highways","618150","Rehabilitation and Up-gradation of i. Deogaon phata to Digras phata Ch. 0/000 to 15/000 & Selu to Borgavhan Ch 20/900 to 35/800 [Length 29.9km] ii. Injegaon Dhamoni to Pohner Phata Ch.58/200 to Ch. 83/700 [Length25.5 km] and iii. Pohner phata to Pathri Design Ch. 42/700 to 58/200 [Length 15.5 km] sections of NH-548B to Two lane with paved shoulder configuartion in the state of Maharashtra on EPC mode Total project length 70.9 Km.","761.83","761.83","0"
"775","Roads & Highways","Ministry of Road Transport & Highways","618151","Widening to 4LPS of NH-548B from Km 118.450 Near Shirguppi to Km 128.450 Near Ankali in the State of Karnataka under NH O on EPC Mode Under Annual Plan 2022-23 NH-548B-KNT-2022-23-982","1084.29","1084.29","1.71"
"776","Roads & Highways","Ministry of Road Transport & Highways","618152","Mhaswad to Tembhurni section of NH-548C - 2L PS","488.6","488.6","0"
"777","Roads & Highways","Ministry of Road Transport & Highways","618153","Satara to Mhaswad","653.46","653.46","7.34"
"778","Roads & Highways","Ministry of Road Transport & Highways","618154","Rehabilitation & upgradation of Jamkhed to Sautada Section of NH548 D from km 195.375 to km 208.774, Length 13.399 Km to 2L PS /4L configuration with rigid pavement in the state of Maharashtra on EPC mode.","157.62","157.62","0"
"779","Roads & Highways","Ministry of Road Transport & Highways","618155","Development/Widening of Talegaon Chakan Shikrapur Nhavara Section of NH-548D from existing chainage km. 54/000 to 82/300 and Design chainage Km. 54/000 to 82/120 Shikrapur to Nhavara Section to 2LPS/4L Configuration on EPC Mode in the State of Maharashtra.","396.17","396.17","99.7"
"780","Roads & Highways","Ministry of Road Transport & Highways","618156","Construction of Morena bypass, Ambah bypass & Porsa bypass Totat length 27.16 km Section of NH-552 Ext. to TWo lane with paved shoulder configuration in the state of Madhya Pradesh on EPC mode","492.66","492.66","0"
"781","Roads & Highways","Ministry of Road Transport & Highways","618157","Construction of Ater realignment & Bhind bypass Total length. 21.50 km Section of NH-552Extn. to Two lane with paved shoulder configuration in the State of Madhya Pradesh on EPC mode.","348.06","348.06","79.84"
"782","Roads & Highways","Ministry of Road Transport & Highways","618158","Upgradation of Goras to Shyampur Road section of NH-552 Ext., from Design Chainge 48.400 to 111.800 Km Total length 63.40 km to two lane with paved shoulder configuration along with One time improvement of 8.91 km in the state of Madhya Pradesh on EPC mode","416.96","416.96","0"
"783","Roads & Highways","Ministry of Road Transport & Highways","618159","Construction of new 2 Lane with paved shoulders of NH Standards from km 0.080 to km 11.690 L11.610 km in Majuli and from km 19.715 to km 27.484 L 7.769 km in Jorhat on the newly declared NH 715K and construction of 1.10 km flyover on NH-715 with its approaches and service roads L1.10 km, Total Length 20.479 km in the State of Assam Job No. 715K/AS/2023-24/256","382.1","382.1","28.96"
